,Rating,No_of_ratings,Review,Size,RAM,Price,MRP
321,4.7,6,2,40,8,935,1200
322,4.253596615,2841,241,40,8,892,1344
323,4.3,2841,241,40,8,684,1025
324,4.253596615,2841,241,34,16,2223,2639
325,4.253596615,2841,241,36,32,3011,3225
326,4.253596615,2841,241,40,8,586,757
327,4.2,974,75,36,8,415,744
328,4.4,800,83,40,16,672,989
329,4.5,100,12,40,8,770,1170
330,4.253596615,2841,241,36,16,935,1091
331,4.2,31,3,40,16,663,1034
332,4.253596615,2841,241,40,16,831,953
333,4.4,1181,143,40,16,733,1063
334,4.253596615,2841,241,41,16,2016,2599
335,4.3,252,29,40,8,745,1145
336,4.253596615,2841,241,40,8,756,1012
337,4.7,47,9,40,16,1588,2309
338,4.253596615,2841,241,36,16,1128,939
339,4.3,115,6,40,8,482,726
340,4.4,9,2,40,8,1064,1490
341,4.253596615,2841,241,40,8,1698,2322
342,4.253596615,2841,241,40,16,1991,2395
343,4.2,253,20,36,16,611,724
344,4.4,92,14,40,16,1099,1356
345,4.5,8,3,36,32,1955,2529
346,4.253596615,2841,241,40,8,708,992
347,4.3,2841,241,40,8,684,1025
348,4.253596615,2841,241,44,32,3054,3421
349,4.5,1361,186,36,16,916,1136
350,4.253596615,2841,241,41,16,2035,2385
351,4.2,974,75,36,8,415,744
352,4,4,0,40,8,700,1093
353,4.1,179,27,36,8,611,831
354,4.2,48,11,36,8,550,672
355,4.2,31,3,40,16,663,1034
356,4.253596615,2841,241,40,16,2590,3115
357,4.7,9278,829,34,8,1344,1355
358,4.2,350,41,40,8,440,672
359,3,4,0,40,8,654,990
360,4.1,212,30,40,4,318,366
361,4.2,17,3,40,16,610,1109
362,4.2,334,52,40,8,549,693
363,4.3,115,6,40,8,482,726
364,4.253596615,2841,241,40,16,672,977
365,4.8,5,1,40,8,2132,2321
366,4.253596615,2841,241,44,16,1344,1515
367,4.2,253,20,36,16,611,724
368,4.3,671,85,40,16,794,1051
369,4.253596615,2841,241,40,8,501,672
370,4.3,40,10,40,16,1527,1654
371,4.3,2841,241,101,8,647,939
372,4.6,10,3,40,8,3983,4616
373,4.253596615,2841,241,36,16,1796,2162
374,4.253596615,2841,241,36,8,599,708
375,4.3,2841,241,40,8,684,1025
376,4.4,800,83,40,16,672,989
377,4.253596615,2841,241,40,16,1075,1478
378,4.253596615,2841,241,36,32,2346,3018
379,4.2,974,75,36,8,415,744
380,4.253596615,2841,241,40,8,708,992
381,4.8,125,14,36,16,2810,2931
382,4.3,222,29,38,4,427,600
383,4.2,31,3,40,16,663,1034
384,4.6,25,6,40,4,208,305
385,4,5,2,40,8,3054,3581
386,4.253596615,2841,241,40,16,989,1246
387,4.2,253,20,36,16,611,724
388,4.4,159,15,40,8,806,989
389,4.253596615,2841,241,41,16,672,916
390,4.253596615,2841,241,40,8,733,916
391,4.3,2841,241,40,8,684,1025
392,4.253596615,2841,241,36,16,928,1051
393,4.253596615,2841,241,34,16,1857,2639
394,4.253596615,2841,241,36,8,916,1503
395,4.2,974,75,36,8,415,744
396,4.5,854,130,40,16,806,1087
397,4,4,0,40,16,916,1099
398,4.253596615,2841,241,40,8,4032,4435
399,4.2,31,3,40,16,663,1034
400,4.4,44,6,41,16,1261,1518
401,4.253596615,2841,241,41,32,2199,3112
402,4.2,34,5,36,16,1051,1240
403,4.2,265,21,40,8,672,939
404,4.253596615,2841,241,40,32,2871,3971
405,4.9,12,0,40,8,2303,2728
406,4.253596615,2841,241,36,8,1063,1305
407,4.253596615,2841,241,36,16,1196,939
408,4.5,6,0,40,16,1093,1278
409,4.4,5,1,40,8,1098,1383
410,4.2,53,7,36,8,611,770
411,4.3,115,6,40,8,482,726
412,4.5,2053,318,40,16,1185,1723
413,4.5,16,2,40,8,733,954
414,3.7,9,4,40,16,1582,1918
415,4.2,253,20,36,16,611,724
416,4.7,21,2,40,16,1741,2245
417,4.1,9,1,36,8,497,543
418,4.253596615,2841,241,41,32,2749,3653
419,4.3,2841,241,101,8,647,939
420,4.5,29,6,36,8,684,1100
421,3.7,46,4,36,4,256,428
422,3.6,12,2,41,16,1484,1955
423,4.3,2841,241,40,8,684,1025
424,4.253596615,2841,241,41,16,1356,1483
425,4.5,14,2,36,16,1051,1363
426,4.253596615,2841,241,41,32,2810,3054
427,4.2,974,75,36,8,415,744
428,4.253596615,2841,241,36,32,2346,3018
429,4.253596615,2841,241,36,8,954,1207
430,4.253596615,2841,241,41,16,2688,2969
431,4.2,31,3,40,16,663,1034
432,3.9,14,0,44,16,1405,1808
433,4.253596615,2841,241,97,16,1796,2113
434,4.5,47,11,40,8,623,818
435,4.3,115,6,40,8,482,726
436,4.253596615,2841,241,37,16,1710,2822
437,3,4,0,40,8,475,717
438,4.253596615,2841,241,40,8,415,726
439,4.2,253,20,36,16,611,724
440,4.253596615,2841,241,41,32,3054,3751
441,3.9,8,0,40,8,512,693
442,4.3,35,1,35,8,1710,1831
443,4.3,2841,241,101,8,647,939
444,4.7,3,0,40,8,1014,1295
445,4.253596615,2841,241,36,16,1771,1991
446,4.253596615,2841,241,34,16,3726,4691
447,4.3,2841,241,40,8,684,1025
448,4.253596615,2841,241,41,32,2749,3665
449,4.7,6,0,40,8,473,612
450,4.253596615,2841,241,40,8,748,1042
451,4.2,974,75,36,8,415,744
452,4.253596615,2841,241,40,16,2065,2710
453,4.253596615,2841,241,41,16,1356,1715
454,4.253596615,2841,241,36,16,1344,1649
455,3,4,0,40,8,654,990
456,3.8,13,4,40,8,520,708
457,4.8,125,14,41,16,2931,939
458,4.4,139,26,40,8,463,621
459,4.3,115,6,40,8,482,726
460,3.9,219,16,40,8,525,709
461,3.6,583,57,89,8,629,686
462,4.9,7,2,34,16,1222,1503
463,4.2,253,20,36,16,611,724
464,4.253596615,2841,241,41,16,2033,2316
465,4.253596615,2841,241,36,32,3786,939
466,3.8,140,15,36,8,341,452
467,4.3,2841,241,101,8,647,939
468,4.5,159,16,40,16,1246,1576
469,4.253596615,2841,241,36,16,1466,1880
470,5,6,2,34,8,996,1143
471,4.3,2841,241,40,8,684,1025
472,4.253596615,2841,241,40,16,2285,2614
473,5,3,0,41,16,2199,2785
474,4.253596615,2841,241,40,8,699,867
475,4.2,974,75,36,8,415,744
476,4.253596615,2841,241,34,16,1429,2199
477,4.2,119,14,36,8,733,881
478,4.253596615,2841,241,34,16,1808,2028
479,3,4,0,40,8,654,990
480,4.253596615,2841,241,40,16,1014,1258
481,4.5,875,177,36,8,472,672
482,4.1,13,4,40,8,2474,2907
483,4.2,253,20,36,16,611,724
484,5,3,0,40,8,684,977
