Company,Rating,No_of_ratings,Review,Size,RAM,Price,MRP
realme,4.4,7358,982,40,8,678,855
Lenovo,4.3,252,29,40,8,745,1145
acer,4.253596615,2841,241,40,8,708,916
MSI,4.253596615,2841,241,40,16,953,1075
HP,4.2,10,2,34,16,1393,1623
Lenovo,4.3,115,6,40,8,482,726
APPLE,5,11,2,35,8,1832,939
DELL,4.1,340,32,40,8,391,541
MSI,4.5,757,106,40,8,1087,1784
HP,4.2,253,20,36,16,611,724
ASUS,4.7,20,1,44,16,1087,1613
DELL,4.253596615,2841,241,36,8,463,621
DELL,4.253596615,2841,241,41,16,1081,1397
Lenovo,4.3,2841,241,40,8,684,1025
APPLE,4.7,9278,829,34,8,1161,1221
DELL,4.1,506,48,40,8,519,748
Lenovo,4.253596615,2841,241,40,16,749,1099
Lenovo,4.2,974,75,36,8,415,744
HP,4.7,14,4,34,16,1044,1211
HP,4.253596615,2841,241,41,8,916,1129
Lenovo,4.253596615,2841,241,40,16,1704,2393
Lenovo,4.2,31,3,40,16,663,1034
MSI,4.253596615,2841,241,40,16,1136,1405
HP,4.253596615,2841,241,40,8,1014,1264
APPLE,4.253596615,2841,241,41,32,4275,939
Lenovo,3,4,0,40,8,654,990
Lenovo,4.253596615,2841,241,41,16,1955,2667
DELL,4.3,22,3,40,8,1833,2776
DELL,3.8,30,1,97,8,470,657
HP,4.2,253,20,36,16,611,724
DELL,3.7,19,3,97,8,849,1239
APPLE,4.253596615,2841,241,41,16,2932,3053
APPLE,4.8,52,5,35,8,1466,939
Lenovo,4.3,2841,241,101,8,647,939
ASUS,4.253596615,2841,241,41,16,733,916
DELL,4.3,13,2,40,8,989,1284
DELL,4.5,52,9,40,8,915,1319
Lenovo,4.3,2841,241,40,8,684,1025
DELL,4.3,329,43,40,4,440,542
acer,4.4,13376,1431,40,8,647,1100
ASUS,4.253596615,2841,241,40,16,2138,2895
Lenovo,4.2,974,75,36,8,415,744
MSI,4.5,456,72,40,8,977,1368
DELL,4.253596615,2841,241,40,16,1832,2114
DELL,4,51,8,40,8,977,1132
Lenovo,4.2,31,3,40,16,663,1034
ASUS,4.7,3,2,41,32,2957,3519
Lenovo,3.8,4,2,40,16,819,1162
HP,4.253596615,2841,241,34,16,977,1119
Lenovo,4.2,265,21,40,8,672,939
APPLE,4.6,1162,126,34,8,1380,1440
DELL,4.5,262,25,40,8,915,1253
HP,4.253596615,2841,241,41,8,1014,1180
HP,4.2,253,20,36,16,611,724
ASUS,5,5,0,40,16,1588,2236
DELL,4.4,139,26,40,8,463,621
ASUS,4.5,1361,186,36,16,916,1136
Lenovo,4.3,2841,241,101,8,647,939
HP,4.2,27,2,40,16,1099,1244
DELL,4.7,6,2,40,8,935,1200
GIGABYTE,4.253596615,2841,241,40,8,892,1344
Lenovo,4.3,2841,241,40,8,684,1025
ASUS,4.253596615,2841,241,34,16,2223,2639
DELL,4.253596615,2841,241,36,32,3011,3225
ASUS,4.253596615,2841,241,40,8,586,757
Lenovo,4.2,974,75,36,8,415,744
ASUS,4.4,800,83,40,16,672,989
Lenovo,4.5,100,12,40,8,770,1170
HP,4.253596615,2841,241,36,16,935,1091
Lenovo,4.2,31,3,40,16,663,1034
MSI,4.253596615,2841,241,40,16,831,953
ASUS,4.4,1181,143,40,16,733,1063
Lenovo,4.253596615,2841,241,41,16,2016,2599
Lenovo,4.3,252,29,40,8,745,1145
DELL,4.253596615,2841,241,40,8,756,1012
MSI,4.7,47,9,40,16,1588,2309
Lenovo,4.253596615,2841,241,36,16,1128,939
Lenovo,4.3,115,6,40,8,482,726
DELL,4.4,9,2,40,8,1064,1490
DELL,4.253596615,2841,241,40,8,1698,2322
ASUS,4.253596615,2841,241,40,16,1991,2395
HP,4.2,253,20,36,16,611,724
ASUS,4.4,92,14,40,16,1099,1356
ASUS,4.5,8,3,36,32,1955,2529
DELL,4.253596615,2841,241,40,8,708,992
Lenovo,4.3,2841,241,40,8,684,1025
MSI,4.253596615,2841,241,44,32,3054,3421
ASUS,4.5,1361,186,36,16,916,1136
HP,4.253596615,2841,241,41,16,2035,2385
Lenovo,4.2,974,75,36,8,415,744
Lenovo,4,4,0,40,8,700,1093
ASUS,4.1,179,27,36,8,611,831
ASUS,4.2,48,11,36,8,550,672
Lenovo,4.2,31,3,40,16,663,1034
ASUS,4.253596615,2841,241,40,16,2590,3115
APPLE,4.7,9278,829,34,8,1344,1355
acer,4.2,350,41,40,8,440,672
Lenovo,3,4,0,40,8,654,990
ASUS,4.1,212,30,40,4,318,366
DELL,4.2,17,3,40,16,610,1109
DELL,4.2,334,52,40,8,549,693
Lenovo,4.3,115,6,40,8,482,726
acer,4.253596615,2841,241,40,16,672,977
MSI,4.8,5,1,40,8,2132,2321
MSI,4.253596615,2841,241,44,16,1344,1515
HP,4.2,253,20,36,16,611,724
ASUS,4.3,671,85,40,16,794,1051
ASUS,4.253596615,2841,241,40,8,501,672
MSI,4.3,40,10,40,16,1527,1654
Lenovo,4.3,2841,241,101,8,647,939
ALIENWARE,4.6,10,3,40,8,3983,4616
ASUS,4.253596615,2841,241,36,16,1796,2162
MSI,4.253596615,2841,241,36,8,599,708
Lenovo,4.3,2841,241,40,8,684,1025
ASUS,4.4,800,83,40,16,672,989
ASUS,4.253596615,2841,241,40,16,1075,1478
ASUS,4.253596615,2841,241,36,32,2346,3018
Lenovo,4.2,974,75,36,8,415,744
DELL,4.253596615,2841,241,40,8,708,992
APPLE,4.8,125,14,36,16,2810,2931
Lenovo,4.3,222,29,38,4,427,600
Lenovo,4.2,31,3,40,16,663,1034
Primebook,4.6,25,6,40,4,208,305
ALIENWARE,4,5,2,40,8,3054,3581
ASUS,4.253596615,2841,241,40,16,989,1246
HP,4.2,253,20,36,16,611,724
ASUS,4.4,159,15,40,8,806,989
ASUS,4.253596615,2841,241,41,16,672,916
ASUS,4.253596615,2841,241,40,8,733,916
Lenovo,4.3,2841,241,40,8,684,1025
MSI,4.253596615,2841,241,36,16,928,1051
ASUS,4.253596615,2841,241,34,16,1857,2639
ASUS,4.253596615,2841,241,36,8,916,1503
Lenovo,4.2,974,75,36,8,415,744
ASUS,4.5,854,130,40,16,806,1087
ASUS,4,4,0,40,16,916,1099
ASUS,4.253596615,2841,241,40,8,4032,4435
Lenovo,4.2,31,3,40,16,663,1034
HP,4.4,44,6,41,16,1261,1518
Lenovo,4.253596615,2841,241,41,32,2199,3112
DELL,4.2,34,5,36,16,1051,1240
Lenovo,4.2,265,21,40,8,672,939
ASUS,4.253596615,2841,241,40,32,2871,3971
ALIENWARE,4.9,12,0,40,8,2303,2728
DELL,4.253596615,2841,241,36,8,1063,1305
Lenovo,4.253596615,2841,241,36,16,1196,939
HP,4.5,6,0,40,16,1093,1278
DELL,4.4,5,1,40,8,1098,1383
ASUS,4.2,53,7,36,8,611,770
Lenovo,4.3,115,6,40,8,482,726
acer,4.5,2053,318,40,16,1185,1723
HP,4.5,16,2,40,8,733,954
MSI,3.7,9,4,40,16,1582,1918
HP,4.2,253,20,36,16,611,724
HP,4.7,21,2,40,16,1741,2245
DELL,4.1,9,1,36,8,497,543
ASUS,4.253596615,2841,241,41,32,2749,3653
Lenovo,4.3,2841,241,101,8,647,939
acer,4.5,29,6,36,8,684,1100
Lenovo,3.7,46,4,36,4,256,428
HP,3.6,12,2,41,16,1484,1955
Lenovo,4.3,2841,241,40,8,684,1025
HP,4.253596615,2841,241,41,16,1356,1483
DELL,4.5,14,2,36,16,1051,1363
acer,4.253596615,2841,241,41,32,2810,3054
Lenovo,4.2,974,75,36,8,415,744
ASUS,4.253596615,2841,241,36,32,2346,3018
DELL,4.253596615,2841,241,36,8,954,1207
ASUS,4.253596615,2841,241,41,16,2688,2969
Lenovo,4.2,31,3,40,16,663,1034
ASUS,3.9,14,0,44,16,1405,1808
DELL,4.253596615,2841,241,97,16,1796,2113
ASUS,4.5,47,11,40,8,623,818
Lenovo,4.3,115,6,40,8,482,726
ASUS,4.253596615,2841,241,37,16,1710,2822
Lenovo,3,4,0,40,8,475,717
Lenovo,4.253596615,2841,241,40,8,415,726
HP,4.2,253,20,36,16,611,724
ASUS,4.253596615,2841,241,41,32,3054,3751
DELL,3.9,8,0,40,8,512,693
APPLE,4.3,35,1,35,8,1710,1831
Lenovo,4.3,2841,241,101,8,647,939
ASUS,4.7,3,0,40,8,1014,1295
MSI,4.253596615,2841,241,36,16,1771,1991
ASUS,4.253596615,2841,241,34,16,3726,4691
Lenovo,4.3,2841,241,40,8,684,1025
ASUS,4.253596615,2841,241,41,32,2749,3665
DELL,4.7,6,0,40,8,473,612
Lenovo,4.253596615,2841,241,40,8,748,1042
Lenovo,4.2,974,75,36,8,415,744
DELL,4.253596615,2841,241,40,16,2065,2710
HP,4.253596615,2841,241,41,16,1356,1715
ASUS,4.253596615,2841,241,36,16,1344,1649
Lenovo,3,4,0,40,8,654,990
ASUS,3.8,13,4,40,8,520,708
APPLE,4.8,125,14,41,16,2931,939
DELL,4.4,139,26,40,8,463,621
Lenovo,4.3,115,6,40,8,482,726
acer,3.9,219,16,40,8,525,709
DELL,3.6,583,57,89,8,629,686
ASUS,4.9,7,2,34,16,1222,1503
HP,4.2,253,20,36,16,611,724
HP,4.253596615,2841,241,41,16,2033,2316
APPLE,4.253596615,2841,241,36,32,3786,939
HP,3.8,140,15,36,8,341,452
Lenovo,4.3,2841,241,101,8,647,939
ASUS,4.5,159,16,40,16,1246,1576
Lenovo,4.253596615,2841,241,36,16,1466,1880
HP,5,6,2,34,8,996,1143
Lenovo,4.3,2841,241,40,8,684,1025
DELL,4.253596615,2841,241,40,16,2285,2614
ASUS,5,3,0,41,16,2199,2785
ASUS,4.253596615,2841,241,40,8,699,867
Lenovo,4.2,974,75,36,8,415,744
ASUS,4.253596615,2841,241,34,16,1429,2199
HP,4.2,119,14,36,8,733,881
MSI,4.253596615,2841,241,34,16,1808,2028
Lenovo,3,4,0,40,8,654,990
HP,4.253596615,2841,241,40,16,1014,1258
HP,4.5,875,177,36,8,472,672
ALIENWARE,4.1,13,4,40,8,2474,2907
HP,4.2,253,20,36,16,611,724
acer,5,3,0,40,8,684,977
DELL,4.2,9,1,40,8,1264,1572
ASUS,4.3,5544,790,36,4,385,443
Lenovo,4.3,2841,241,40,8,684,1025
DELL,4.253596615,2841,241,44,32,3671,4782
DELL,4.253596615,2841,241,41,16,903,1146
Lenovo,4.4,14,3,40,8,450,752
Lenovo,4.2,974,75,36,8,415,744
MSI,4.6,120,27,40,16,1588,2126
SAMSUNG,4.4,50,7,40,16,818,1087
ASUS,4.253596615,2841,241,41,16,818,1014
Lenovo,4.2,31,3,40,16,663,1034
HP,4.253596615,2841,241,44,32,2431,2838
HP,4.4,2213,249,40,8,696,733
SAMSUNG,4.253596615,2841,241,40,8,916,1148
Lenovo,4.3,252,29,40,8,745,1145
DELL,4.253596615,2841,241,40,8,966,979
DELL,4,3,2,40,8,707,912
DELL,4.253596615,2841,241,34,16,1099,1373
Lenovo,4.2,265,21,40,8,672,939
ASUS,4.3,40,4,34,8,818,1258
APPLE,4.253596615,2841,241,36,16,3053,939
DELL,3.3,3,0,40,8,529,657
Lenovo,4.3,115,6,40,8,482,726
acer,4.253596615,2841,241,41,16,1161,1344
HP,4.2,6,0,40,8,831,1010
ASUS,4.3,8,0,41,16,1710,2382
HP,4.2,253,20,36,16,611,724
SAMSUNG,4.4,50,7,40,16,818,1087
Infinix,4.1,1134,189,36,4,256,366
Lenovo,4.253596615,2841,241,36,16,1209,1589
Lenovo,4.3,2841,241,101,8,647,939
DELL,4.4,50,3,40,8,507,694
HP,4.253596615,2841,241,41,16,1307,1552
HP,4.253596615,2841,241,41,16,1161,1332
Lenovo,4.3,2841,241,40,8,684,1025
Lenovo,4.253596615,2841,241,103,32,2321,3077
DELL,4.253596615,2841,241,40,8,557,795
acer,4.253596615,2841,241,40,8,446,599
Lenovo,4.2,974,75,36,8,415,744
DELL,4.253596615,2841,241,40,8,612,784
ASUS,4.4,800,83,40,16,672,989
APPLE,4.253596615,2841,241,35,16,1698,939
Lenovo,3,4,0,40,8,654,990
ASUS,4.253596615,2841,241,41,8,733,916
ASUS,4.5,98,8,36,8,782,1014
ASUS,3,2,1,40,8,1686,1790
Lenovo,4.3,115,6,40,8,482,726
ASUS,4.253596615,2841,241,40,16,1185,1832
Lenovo,4.253596615,2841,241,36,16,2204,2906
ASUS,4.253596615,2841,241,37,16,1344,2089
HP,4.2,253,20,36,16,611,724
HP,4.7,12,2,40,16,911,1313
DELL,4.253596615,2841,241,36,16,2156,2710
HP,4.253596615,2841,241,41,16,1356,1715
Lenovo,4.3,2841,241,40,8,684,1025
ASUS,4.253596615,2841,241,34,16,1857,2309
ASUS,4.253596615,2841,241,36,16,1222,1503
realme,4.4,7358,982,40,8,733,855
Lenovo,4.2,974,75,36,8,415,744
DELL,4.2,100,13,39,16,855,999
ASUS,4,113,14,36,4,421,611
DELL,4.253596615,2841,241,40,8,767,912
Lenovo,4.2,31,3,40,16,663,1034
MSI,4.253596615,2841,241,36,8,770,867
ASUS,4.2,18,1,36,8,1246,1832
HP,4.253596615,2841,241,40,8,487,611
Lenovo,3,4,0,40,8,654,990
ASUS,4.4,132,18,40,16,1222,1576
acer,4.253596615,2841,241,41,16,1405,1649
DELL,3.9,28,6,40,8,733,1045
HP,4.2,253,20,36,16,611,724
DELL,4.3,1957,175,97,8,489,677
Lenovo,4.253596615,2841,241,40,16,1026,1358
ASUS,4.3,1872,230,40,4,366,611
Lenovo,4.3,2841,241,101,8,647,939
Lenovo,4.4,145,21,40,8,941,1093
ASUS,4.4,509,74,40,8,562,770
DELL,4.253596615,2841,241,36,16,1099,939
Lenovo,4.3,2841,241,40,8,684,1025
ASUS,4.253596615,2841,241,34,16,1808,2175
acer,4.253596615,2841,241,40,8,1425,939
Lenovo,4.253596615,2841,241,40,16,1613,2274
Lenovo,4.2,974,75,36,8,415,744
DELL,3.8,17,3,36,8,770,1317
APPLE,4.253596615,2841,241,36,16,2932,3053
DELL,4.253596615,2841,241,40,8,860,1098
Lenovo,4.2,31,3,40,16,663,1034
SAMSUNG,4.253596615,2841,241,40,16,977,1222
ASUS,4.253596615,2841,241,40,16,1099,1429
DELL,4.253596615,2841,241,40,8,1149,939
Lenovo,4.3,252,29,40,8,745,1145
ASUS,4.4,800,83,40,16,672,989
ASUS,4.253596615,2841,241,40,8,733,916
HP,4,4,1,34,16,1539,1785
HP,4.2,253,20,36,16,611,724
DELL,4.3,1956,206,40,8,562,713
Infinix,4.2,261,50,40,8,415,611
Infinix,4.2,181,35,40,8,403,550
Lenovo,4.3,2841,241,101,8,647,939
ASUS,4.4,193,39,40,16,1588,1955
